-------- ENCODAGE MIRE ORIGINALE --------
-------- ((x,y),(codage_voisin_0_degree),(codage_voisin_90_degree),(codage_voisin_180_degree),(codage_voisin_270_degree)) --------
(341, 87), 110000121
(224, 80), 122111201
(191, 65), 111110120
(393, 65), 102112NNN
(80, 59), 1201NNN22
(273, 58), 100210211
(323, 35), 121011NNN
(287, 20), 110102NNN
(170, 15), 121020NNN
(227, 507), 2NNNN101N
(505, 327), 2NN2NNNNN
(5, 314), 202NNNNN0
(506, 245), 2NN220NNN
(498, 109), 2NNN11NNN
(254, 8), 21102NNNN
(254, 256), 22NN2NNNN
(383, 483), 21NN01211
(144, 470), 20NNN2211
(115, 458), 22NNN1021
(323, 457), 210012212
(367, 443), 21212122N
(294, 443), 220102121
(59, 433), 21NNN0210
(125, 433), 212210222
(265, 430), 221001012
(382, 415), 211212112
(165, 418), 201122002
(308, 416), 212221102
(351, 402), 222120011
(136, 405), 221202000
(206, 404), 210020020
(41, 391), 212002220
(427, 400), 2001210N1
(107, 392), 222010200
(13, 381), 2200NNN22
(217, 377), 201200010
(86, 362), 2NN0NN121
(49, 368), 201222012
(21, 355), 2222NN201
(492, 354), 2NNN0122N
(89, 350), 202221121
(304, 345), 200102101
(381, 343), 201101100
(99, 333), 2N02N22N2
(274, 332), 221011110
(94, 316), 2N2NN001N
(146, 310), 210N22NN2
(477, 310), 2N210222N
(134, 308), 221110012
(6, 296), 22NNNNN2N
(212, 305), 211012211
(444, 295), 221001022
(181, 291), 220121021
(10, 285), 2002NNN01
(333, 285), 211010211
(494, 277), 2NN22202N
(462, 263), 222210102
(193, 261), 212210200
(269, 257), 201112012
(315, 239), 212021211
(173, 215), 202011222
(411, 201), 210011210
(218, 197), 200022202
(185, 183), 220212120
(297, 192), 212102212
(80, 175), 200111021
(264, 178), 221020221
(345, 172), 211121002
(388, 162), 2N01NNN2N
(280, 157), 2N2NN22NN
(154, 170), 222101212
(191, 159), 2NN22NN22
(206, 159), 222NNN2NN
(393, 151), 212220121
(278, 143), 212202200
(199, 143), 2N22N0110
(90, 141), 210210102
(234, 135), 22NN2NN22
(134, 122), 212120211
(237, 119), 2222NN1NN
(252, 130), 22NN22NN0
(410, 116), 211201101
(259, 95), 202011010
(112, 72), 212011220
(358, 49), 211101NNN
(218, 34), 20NNN2NNN
(125, 37), 201212N01
(205, 29), 221101NN2
(92, 23), 2221NNNN0


-------- MATRICE DE TRANSFORMATION --------
[[ 4.26401886e-01 -9.57495405e-01  4.11740175e+02]
 [ 8.98937425e-01  2.77918876e-01 -6.36789432e+01]
 [ 2.06895035e-04 -3.50534670e-04  1.00000000e+00]]
