-------- ENCODAGE MIRE ORIGINALE --------
-------- ((x,y),(codage_voisin_0_degree),(codage_voisin_90_degree),(codage_voisin_180_degree),(codage_voisin_270_degree)) --------
(127, 479), 21NNN2011, 2NN20111N, 220111NNN, 2111NNN20
(95, 479), 22NNN0101, 2NN01012N, 201012NNN, 2012NNN01
(31, 479), 20NNNNN21, 2NNNN210N, 2NN210NNN, 2210NNNNN
(383, 447), 210120110, 212011010, 201101012, 210101201
(191, 447), 211011120, 201112011, 211201101, 220110111
(31, 447), 2102NNN00, 22NNN0010, 2NN00102N, 200102NNN
(479, 415), 2NN00221N, 200221NNN, 2221NNN00, 21NNN0022
(447, 415), 220010121, 201012120, 201212001, 221200101
(319, 415), 210100221, 210022110, 202211010, 221101002
(191, 415), 201211212, 221121201, 212120121, 212012112
(447, 383), 212201201, 220120112, 212011220, 201122012
(319, 383), 211202202, 220220211, 222021120, 202112022
(287, 383), 222001220, 200122022, 212202200, 220220012
(223, 383), 210021112, 202111210, 211121002, 212100211
(159, 383), 212101001, 210100112, 210011210, 201121010
(63, 383), 201002122, 200212201, 221220100, 222010021
(31, 383), 2200NNN12, 20NNN1220, 2NN12200N, 212200NNN
(415, 351), 202111212, 211121202, 212120211, 212021112
(351, 351), 211120222, 212022211, 202221112, 222111202
(287, 351), 202212102, 221210202, 221020221, 202022121
(255, 351), 222121210, 212121022, 212102212, 210221212
(95, 351), 201022221, 202222101, 222210102, 221010222
(63, 351), 220221222, 222122220, 212222022, 222202212
(447, 319), 201021021, 202102101, 210210102, 221010210
(383, 319), 212122210, 212221012, 222101212, 210121222
(351, 319), 221202021, 220202121, 220212120, 221212020
(319, 319), 222020002, 202000222, 200022202, 202220200
(223, 319), 212111202, 211120212, 212021211, 202121112
(95, 319), 210222100, 222210010, 221001022, 200102221
(63, 319), 222212210, 221221022, 222102221, 210222122
(31, 319), 2221NNN21, 21NNN2122, 2NN21221N, 221221NNN
(447, 287), 210210011, 221001110, 200111021, 211102100
(351, 287), 212220201, 222020112, 202011222, 201122202
(255, 287), 200120111, 212011100, 201110012, 211001201
